TeacherExp,SchoolID,TestScore,SmallClass,Boy,FreeLunch
4,39,920,0,1,1
13,54,937,0,0,0
2,40,908,0,0,1
20,64,1065,0,1,1
7,36,842,1,0,0
6,50,971,1,0,0
3,53,827,0,1,1
6,19,867,0,1,1
13,67,924,0,0,0
3,42,916,0,1,0
"first year teacher",59,964,0,1,0
12,79,962,0,1,0
13,48,909,0,1,0
"first year teacher",37,961,0,1,1
12,34,841,1,1,0
20,71,942,1,1,0
8,5,866,0,1,0
1,27,944,1,1,1
4,48,931,0,1,0
4,13,940,1,0,0
6,72,862,1,1,1
6,71,917,1,1,0
13,74,866,0,1,1
6,33,777,0,1,1
8,3,895,0,1,0
16,69,880,0,0,0
8,16,856,0,0,1
13,50,924,0,0,0
10,68,979,0,1,1
9,1,922,0,1,1
9,3,821,1,1,1
12,10,848,0,0,1
20,3,1016,0,1,0
11,18,903,0,0,1
12,46,935,0,0,0
21,40,867,0,0,1
11,51,785,0,1,1
16,22,988,0,1,1
"first year teacher",32,817,0,1,1
9,18,857,0,0,1
8,70,929,1,1,0
11,11,851,0,0,1
27,70,937,0,0,0
5,29,836,0,1,1
5,47,937,0,0,1
3,56,886,1,0,1
13,8,999,1,0,1
5,1,1013,0,0,0
8,78,940,1,1,0
22,61,912,0,1,0
2,71,889,0,1,1
14,36,984,0,1,0
12,8,914,0,1,1
13,60,976,0,0,1
6,50,958,1,0,1
1,27,893,1,1,1
8,5,797,0,0,0
3,22,923,1,0,1
11,22,839,0,0,1
19,73,1037,0,0,0
13,75,870,0,0,0
9,18,834,0,0,1
10,1,848,0,1,0
2,19,848,1,0,1
24,30,1082,0,0,1
5,33,906,0,1,1
6,68,953,1,0,1
11,49,1042,0,0,0
6,7,961,1,0,0
3,66,903,0,0,0
4,80,820,0,1,0
3,53,903,0,0,0
15,21,1063,0,1,1
12,79,910,0,1,1
27,40,995,1,0,1
20,17,1020,1,1,0
13,80,908,0,0,0
5,34,826,0,1,0
13,55,912,0,1,0
17,16,855,0,1,1
10,1,938,0,1,0
11,49,954,0,0,0
"first year teacher",23,922,1,0,1
13,9,1058,1,0,0
10,66,857,1,0,1
12,20,865,0,1,0
3,78,864,0,0,1
3,10,943,0,1,1
8,59,856,0,1,0
3,32,839,0,1,1
11,22,852,0,0,1
8,28,789,1,1,1
6,68,1018,1,1,0
7,4,983,0,1,0
11,45,789,0,1,1
6,19,872,1,0,1
14,73,934,0,1,0
5,37,931,0,0,1
"first year teacher",4,858,1,0,0
5,29,1097,1,0,1
13,24,880,1,1,1
9,65,920,0,0,0
9,53,973,0,1,0
2,34,897,1,1,0
3,78,800,0,0,0
8,41,933,1,1,0
11,45,867,0,1,1
10,3,965,1,0,0
8,5,873,1,1,1
6,24,898,0,0,1
"first year teacher",37,886,0,0,1
2,57,879,0,1,0
4,7,1078,1,1,1
3,75,921,1,1,0
6,68,1007,1,1,0
21,40,868,0,1,1
1,19,927,0,1,1
6,71,952,0,1,0
3,58,913,0,1,0
16,69,933,0,1,1
17,34,911,0,0,1
13,80,872,0,0,1
27,70,881,0,0,1
13,11,1099,0,1,0
17,36,921,1,1,0
7,56,847,0,1,0
1,16,942,1,0,1
6,33,779,0,1,1
21,23,846,0,0,1
5,21,926,0,1,0
17,16,852,0,0,1
4,63,1007,1,1,0
6,16,847,0,1,1
5,34,892,0,1,0
14,70,831,0,0,1
10,68,900,0,1,1
20,17,932,1,0,0
4,35,830,0,0,1
21,15,854,1,1,1
11,61,979,1,1,0
8,5,1000,0,0,0
14,74,1003,1,0,0
1,76,974,0,1,0
12,63,862,0,1,0
22,33,851,0,0,1
16,51,936,1,1,0
2,76,872,0,1,0
"first year teacher",19,1067,0,0,1
14,70,854,0,0,1
17,43,862,0,0,0
8,9,967,0,0,0
4,40,1124,1,1,1
13,80,947,0,0,0
13,75,799,0,1,0
15,47,890,0,0,1
8,3,919,0,0,0
10,27,998,0,0,0
10,68,908,0,0,1
14,36,1203,0,1,0
5,51,915,0,0,0
6,13,962,0,1,1
12,45,819,0,1,1
16,22,867,0,1,1
7,9,996,1,0,1
5,9,956,0,1,0
12,65,912,0,0,0
2,32,956,0,0,1
20,27,1021,0,1,1
21,48,1036,1,1,0
24,30,1025,0,0,1
16,62,888,0,1,1
2,34,901,1,1,0
"first year teacher",17,864,0,0,0
5,37,885,0,1,0
4,20,937,0,0,1
3,58,926,0,0,0
14,59,940,1,0,1
9,7,1014,0,1,0
13,51,836,0,1,1
6,16,878,0,1,1
8,58,967,1,1,0
12,10,1003,0,1,0
10,24,854,0,1,0
11,6,917,0,0,1
13,67,953,0,0,1
5,67,855,1,0,1
12,63,992,0,0,1
13,60,868,0,1,0
15,51,952,1,1,1
15,41,966,0,0,0
9,49,911,0,1,0
15,21,896,0,1,1
8,78,910,1,1,1
15,47,934,0,1,0
12,54,967,1,0,0
9,7,787,0,0,1
18,52,944,0,0,0
5,37,923,0,1,0
8,78,952,1,0,0
12,34,926,1,0,1
6,72,1050,1,0,1
12,27,983,0,1,1
13,79,897,0,1,0
12,15,839,1,1,1
8,68,914,1,1,0
12,51,954,0,1,0
13,48,1014,0,0,0
11,61,891,1,1,0
27,40,953,1,0,1
2,71,1089,0,0,0
1,20,924,0,1,0
12,15,862,1,1,1
11,18,856,0,1,1
15,21,917,0,0,0
11,49,974,0,1,0
2,30,987,1,1,1
22,33,800,0,1,1
1,20,1044,0,0,0
7,61,978,1,1,0
9,7,1087,0,0,0
6,19,900,1,0,1
1,73,879,1,0,0
2,57,862,0,1,0
"first year teacher",19,1006,0,0,1
11,51,896,0,1,1
6,63,873,0,1,0
21,48,895,1,1,0
11,15,936,0,0,0
12,6,994,1,0,1
5,60,871,0,0,1
7,22,825,0,1,1
9,22,986,1,1,0
13,55,989,0,0,0
8,74,1136,0,1,0
8,58,991,1,0,0
8,5,964,0,1,1
5,35,996,1,0,0
15,36,947,0,0,0
3,44,1144,1,1,1
13,8,889,1,1,1
6,13,867,0,0,0
8,38,865,0,0,1
1,22,924,0,0,1
12,12,1005,0,1,1
7,4,902,0,1,0
10,18,844,1,0,1
9,65,949,0,0,0
6,13,961,0,1,0
24,44,924,0,1,1
1,37,864,1,0,0
12,2,813,1,0,0
8,28,825,1,0,0
"first year teacher",67,973,0,1,0
4,35,1069,0,1,0
13,11,931,0,1,1
12,20,883,0,0,0
6,19,962,0,0,0
8,74,924,0,1,0
8,38,985,0,0,1
12,20,900,0,0,1
6,72,1104,1,1,1
24,22,914,0,0,1
5,28,761,0,0,1
13,51,847,0,0,0
8,70,962,1,1,1
4,35,829,0,0,1
16,68,892,0,1,0
12,72,916,0,0,1
6,31,962,1,1,1
4,46,942,1,1,0
6,13,881,0,1,0
"first year teacher",32,795,0,0,1
24,22,967,0,1,1
12,12,877,0,1,0
4,7,1097,1,1,0
8,72,1087,0,0,0
11,15,934,0,1,1
21,20,875,1,0,0
1,27,891,1,1,1
9,22,936,1,0,1
6,24,899,0,1,1
11,47,857,1,1,1
1,6,862,0,1,0
20,64,925,0,0,1
9,12,1016,1,0,0
14,70,837,0,1,1
12,12,973,0,1,0
5,24,891,1,1,1
14,42,857,0,0,0
12,8,834,0,1,1
10,30,894,0,1,1
20,23,1076,0,0,0
10,27,928,0,1,0
"first year teacher",37,935,0,1,0
1,60,924,1,0,0
5,47,930,0,1,1
8,3,954,0,1,0
13,48,849,0,1,1
"first year teacher",27,933,0,0,0
5,47,887,0,0,0
14,33,931,1,1,1
10,28,856,0,0,1
4,20,831,0,1,1
10,24,862,0,0,1
12,6,891,1,0,1
12,51,1058,0,1,1
9,7,993,0,1,1
14,21,923,1,0,0
13,54,842,0,1,0
"first year teacher",32,861,0,1,1
1,21,1048,0,0,0
11,64,937,0,0,0
17,34,841,0,0,0
12,72,962,0,1,0
17,43,907,0,0,0
"first year teacher",46,914,0,1,0
5,60,847,0,0,0
12,6,870,1,0,1
"first year teacher",19,981,0,1,1
18,52,971,0,1,0
15,21,936,0,0,1
22,61,967,0,0,0
11,23,865,1,0,1
10,42,944,1,0,0
15,70,862,1,1,1
8,3,907,0,1,0
4,48,909,0,1,0
5,60,864,0,1,1
13,11,911,0,1,1
13,50,917,0,1,0
7,56,782,0,0,1
3,66,937,0,1,0
20,64,906,0,0,0
6,63,885,0,1,0
5,51,899,0,1,1
8,57,877,1,1,0
11,23,943,1,1,0
13,51,1023,0,0,0
8,58,936,1,0,0
13,8,846,1,0,1
6,19,876,0,0,1
11,75,1180,0,0,0
12,35,881,0,1,1
1,26,816,1,1,1
16,41,966,0,0,0
3,56,635,0,1,1
14,1,1034,1,0,0
13,75,894,0,0,0
12,50,953,0,0,0
13,55,834,0,0,1
6,13,957,0,0,0
13,51,943,0,1,0
5,29,890,0,0,1
11,49,855,0,1,1
7,22,886,0,0,1
20,12,958,0,1,0
2,16,809,1,0,1
12,27,995,0,1,1
4,40,1094,1,0,0
10,28,918,0,1,1
22,61,966,0,0,0
11,31,967,0,1,1
3,15,868,0,1,1
6,16,825,0,1,1
9,12,909,1,1,1
8,3,1002,0,1,0
11,22,859,0,0,1
22,61,898,0,1,1
16,41,933,0,0,0
10,70,925,0,1,1
19,73,1023,0,0,0
11,22,831,0,1,1
10,72,860,0,1,1
12,72,950,0,0,0
4,80,872,0,1,0
16,69,949,0,0,1
8,72,903,0,0,1
24,22,858,0,1,1
19,64,852,1,1,1
11,37,1008,0,0,1
7,9,950,1,0,1
3,43,942,0,1,0
13,9,910,1,1,0
9,3,854,0,1,0
9,1,905,0,0,0
14,9,1156,0,0,0
17,58,975,0,1,0
12,8,969,0,1,0
9,3,1012,1,1,0
"first year teacher",44,911,0,1,1
1,32,897,1,0,1
12,72,944,0,1,1
13,60,939,0,0,1
12,63,984,0,1,0
21,23,891,0,0,1
21,23,886,0,0,1
9,1,993,0,0,0
6,2,884,0,1,1
8,16,879,0,1,1
3,10,1124,0,0,0
14,36,971,0,1,0
9,12,881,1,0,1
24,44,947,0,1,1
5,34,871,0,1,0
9,65,897,0,0,1
10,68,974,0,0,1
6,63,930,0,1,1
3,45,809,1,1,1
1,23,876,0,0,1
6,27,1074,0,0,1
12,51,954,0,1,0
3,15,870,0,0,1
6,28,947,1,1,1
3,42,822,0,0,1
2,16,837,1,1,1
6,71,864,0,1,0
5,37,911,0,1,0
13,56,834,0,0,0
11,6,892,0,1,0
1,22,931,0,1,1
1,22,837,0,1,1
8,4,913,0,0,0
12,27,1006,0,1,1
11,9,889,0,1,0
11,64,934,0,1,0
9,28,903,0,0,1
6,63,773,0,1,0
7,61,947,1,1,0
16,41,968,0,0,0
22,33,855,0,0,1
1,16,873,1,0,1
11,64,883,0,1,0
6,19,831,0,1,1
12,27,984,0,0,1
6,72,1076,1,1,1
11,47,859,1,0,0
20,27,1003,0,1,1
10,42,853,1,0,1
11,6,919,0,1,0
16,62,939,0,0,0
16,41,939,0,0,0
9,1,971,0,0,0
7,4,937,0,1,0
9,3,957,1,1,0
8,57,887,0,1,1
5,60,1083,0,1,0
5,47,910,0,1,0
7,54,836,0,0,0
12,63,966,0,0,0
17,58,961,0,1,0
10,72,878,0,1,0
11,18,892,0,0,0
13,14,890,1,0,1
1,19,934,0,1,1
"first year teacher",27,845,0,0,1
27,70,891,0,1,1
8,9,847,0,1,1
5,9,936,0,0,0
12,63,898,0,1,0
8,59,904,0,1,1
2,57,1038,0,1,0
20,3,1033,0,1,0
13,74,906,0,1,0
14,42,948,0,1,0
18,25,825,0,0,1
18,41,982,1,0,0
13,24,992,1,0,0
9,49,886,0,1,0
9,18,857,0,0,1
12,79,865,0,1,0
10,68,994,0,0,1
"first year teacher",59,1061,0,1,0
13,55,886,0,0,1
2,25,992,0,1,1
8,57,1171,0,0,0
2,40,959,0,0,1
2,28,807,1,0,1
2,19,868,1,1,1
4,46,859,1,0,1
20,3,938,0,0,0
1,76,842,0,1,0
5,37,1094,0,0,0
5,1,868,0,0,1
20,3,902,0,0,0
12,51,900,0,0,0
1,20,933,0,0,1
7,22,860,0,0,1
10,66,891,1,1,0
7,9,1009,1,0,0
13,24,979,1,0,0
13,74,883,0,1,1
13,55,869,0,1,0
10,28,842,0,1,1
13,60,832,0,0,1
1,57,873,1,1,1
13,80,824,0,1,1
12,52,999,0,1,0
11,9,924,0,0,1
21,48,961,1,1,1
3,28,987,1,1,0
12,10,1003,1,1,0
3,58,879,0,1,0
7,28,903,0,1,1
12,12,937,0,0,1
21,48,978,1,0,1
5,51,897,0,1,0
12,8,975,0,0,0
8,4,849,0,0,1
11,60,883,1,1,0
15,41,1206,0,0,0
2,57,856,0,0,0
12,80,987,1,1,1
16,68,974,0,1,1
2,34,907,1,1,0
12,8,892,0,0,1
11,59,1000,1,1,1
10,24,961,0,0,0
11,22,883,0,1,1
5,17,841,1,0,0
12,25,886,1,1,0
6,19,782,0,1,1
9,28,1016,0,0,0
3,28,971,1,1,0
3,58,894,0,0,0
9,1,902,0,1,1
12,8,805,0,0,1
4,40,892,1,1,1
8,49,959,1,1,0
3,15,957,0,0,1
11,18,899,0,1,1
9,28,979,0,0,0
13,55,955,0,1,0
13,9,978,1,0,0
4,48,1016,0,1,0
5,29,968,1,1,1
11,49,962,0,1,1
5,39,826,0,0,1
5,60,919,0,1,1
24,44,983,0,1,1
8,5,1052,1,1,0
11,9,910,0,1,0
7,9,874,1,1,1
15,7,996,0,0,0
3,56,839,0,1,0
13,75,889,0,0,0
12,74,950,1,1,0
16,62,950,0,0,0
15,21,937,0,0,1
8,4,872,0,1,0
1,6,978,0,1,0
19,73,1108,0,1,0
10,51,1074,1,1,0
6,50,938,1,0,1
17,34,875,0,1,0
8,57,832,1,1,0
10,51,868,1,0,0
8,49,973,1,1,0
9,28,917,0,0,1
11,37,881,0,0,0
3,66,870,0,0,0
11,31,964,0,0,1
10,63,894,0,1,1
5,29,936,0,0,1
16,22,883,0,0,1
6,28,810,1,1,1
14,9,962,1,1,0
11,45,856,0,1,1
18,25,965,0,1,1
11,11,992,0,0,0
"first year teacher",27,892,0,0,0
13,8,971,0,0,0
9,3,872,0,0,1
13,14,1067,1,0,1
"first year teacher",37,979,0,0,0
10,30,939,0,0,1
14,36,951,0,1,0
9,12,1006,1,0,1
24,44,967,0,0,1
13,76,1033,0,0,0
12,27,954,0,0,1
22,33,804,0,0,1
"first year teacher",7,1005,0,0,0
5,21,956,0,1,1
3,56,817,0,0,0
10,51,960,1,1,0
6,19,1039,1,0,1
3,56,790,0,1,1
"first year teacher",67,870,0,0,1
8,66,853,0,1,0
10,68,1181,0,0,0
6,28,796,1,1,1
4,62,940,0,0,1
10,24,921,0,1,0
10,51,956,1,0,1
16,22,873,0,0,1
6,2,857,0,0,1
6,69,1031,0,0,0
12,12,946,0,1,0
5,67,890,1,1,1
13,11,864,0,1,0
11,60,872,1,1,1
12,46,905,0,1,0
11,9,831,0,1,0
8,9,976,0,0,0
20,3,956,0,0,0
8,9,949,0,0,0
11,37,981,0,0,0
4,35,870,0,1,1
7,63,913,0,1,0
8,5,821,1,1,1
3,58,934,0,1,0
5,60,816,0,0,1
10,18,906,0,1,0
11,18,937,0,0,0
12,63,915,0,1,0
"first year teacher",31,968,0,1,1
12,8,1031,0,0,0
12,35,883,0,1,1
2,16,911,1,1,1
6,2,866,0,1,1
10,66,886,1,1,0
3,58,969,0,1,0
6,33,813,0,0,1
2,25,897,0,0,1
3,43,960,0,0,0
10,30,868,0,0,1
11,18,780,0,1,1
"first year teacher",44,847,0,0,1
11,23,942,1,1,0
12,10,1009,1,1,0
12,65,979,0,0,0
14,52,1050,1,0,0
10,3,818,1,0,1
1,33,842,1,0,1
12,15,842,1,0,1
10,51,1004,1,1,0
12,12,978,0,1,0
6,2,831,0,1,1
10,1,873,0,0,0
3,56,834,0,1,0
17,43,842,0,0,0
14,36,895,0,0,0
5,21,917,0,0,1
10,18,868,1,1,1
"first year teacher",19,966,0,0,1
24,30,1102,0,0,1
8,38,893,0,0,1
12,34,849,1,0,0
"first year teacher",17,934,0,0,0
6,33,820,0,1,1
2,57,836,0,1,0
12,45,829,0,1,1
5,79,903,1,1,0
13,8,880,0,1,1
10,72,1018,0,0,0
11,49,1024,0,1,0
12,50,901,0,0,1
11,75,896,0,1,0
7,63,1029,1,0,0
10,1,903,0,1,1
12,52,923,0,1,0
"first year teacher",19,928,0,1,1
11,75,1091,0,0,0
14,73,941,0,0,0
13,8,952,0,1,0
2,71,935,0,1,0
27,40,925,1,1,1
4,7,1007,1,1,0
12,52,994,0,0,1
20,71,886,1,1,1
12,51,944,0,1,0
5,9,942,0,1,0
2,25,861,0,1,0
11,45,837,0,1,0
12,72,954,0,0,0
6,27,989,0,1,1
"first year teacher",43,1034,1,1,0
12,8,956,0,1,0
1,57,1022,1,1,0
8,59,1092,0,1,0
4,80,819,0,1,0
12,2,810,1,1,1
4,39,904,0,0,0
15,7,1042,0,1,1
10,63,961,0,1,0
13,75,932,0,0,0
19,73,983,0,0,0
13,67,1039,0,1,0
21,23,935,0,1,0
"first year teacher",37,897,0,1,0
3,75,1063,1,1,0
"first year teacher",46,947,0,0,0
3,44,1059,1,1,0
"first year teacher",17,992,0,1,0
20,3,957,0,1,0
6,63,899,0,1,1
7,63,1006,1,0,1
12,72,884,0,0,0
8,38,866,0,1,1
21,48,1031,1,0,0
10,66,819,1,1,0
3,56,845,1,0,1
8,66,881,0,1,0
"first year teacher",27,839,0,1,1
14,73,945,0,1,0
15,70,881,1,0,1
3,75,1203,1,1,0
11,6,884,0,1,1
7,22,873,0,1,1
10,18,881,1,1,1
7,56,881,0,1,0
7,61,877,1,0,1
8,41,882,1,1,0
17,16,831,0,0,1
9,53,919,0,0,1
5,64,866,0,1,1
2,73,860,1,1,1
11,15,877,0,1,1
11,9,939,0,1,1
8,9,1087,0,0,0
20,64,961,0,0,0
"first year teacher",4,870,1,0,0
11,6,823,0,1,1
24,22,879,0,1,1
9,65,886,0,1,0
17,16,810,0,0,1
2,76,958,0,0,0
7,28,952,0,0,1
14,9,987,0,0,0
5,28,830,0,1,1
9,1,889,0,0,0
13,55,921,0,1,0
1,6,814,0,0,1
6,69,827,0,1,0
11,75,826,0,1,0
5,17,945,1,1,0
17,29,907,0,1,1
2,34,905,1,0,1
6,69,1144,0,0,0
12,51,1051,0,1,0
5,47,926,0,0,0
13,14,905,1,1,1
1,6,890,0,1,1
10,68,877,0,1,0
13,11,958,0,0,0
3,32,772,0,0,1
24,30,1144,0,0,1
13,75,989,0,0,0
1,16,961,1,1,1
10,68,961,0,0,1
5,35,870,1,1,1
6,39,911,1,1,1
5,51,975,0,1,0
9,28,928,0,0,1
10,18,849,0,1,1
14,1,931,1,1,0
9,53,873,0,0,0
11,18,872,0,1,1
8,61,914,0,0,0
2,32,857,0,0,1
1,14,891,0,1,1
3,43,901,0,0,1
6,71,831,0,1,1
12,63,896,0,1,0
13,55,891,0,0,0
14,70,1031,0,1,1
6,31,1065,1,1,1
6,24,873,0,0,0
5,58,979,1,1,0
11,11,952,0,1,0
16,62,898,0,1,0
15,36,947,0,0,0
12,52,958,0,1,0
16,22,856,0,1,1
1,32,897,1,0,1
9,53,874,0,0,1
15,55,936,1,1,0
3,28,873,1,1,1
6,63,985,0,0,0
17,58,901,0,1,0
4,20,893,0,0,1
6,19,829,0,1,1
8,59,992,0,0,0
6,13,1008,0,1,0
3,78,926,0,0,1
5,28,879,0,0,1
12,45,885,0,1,1
1,19,856,0,1,1
2,76,865,0,0,0
10,72,1027,0,1,0
4,62,868,0,1,1
4,7,1058,1,0,0
15,66,869,1,0,1
"first year teacher",19,911,0,1,1
13,76,1015,0,0,0
5,67,848,1,1,0
15,47,903,0,1,0
12,72,824,0,0,1
5,29,859,0,0,1
11,31,974,0,1,1
10,72,825,0,1,1
13,55,889,0,0,1
8,9,988,0,0,0
7,54,886,0,1,1
8,78,892,0,0,0
3,42,853,0,0,0
2,71,910,0,1,1
15,66,857,1,1,0
3,53,923,0,0,0
10,30,979,0,0,1
1,19,908,0,0,1
6,71,996,1,1,0
8,66,932,0,0,0
2,34,912,1,0,1
20,71,834,1,1,0
1,60,921,1,0,0
6,16,831,0,1,1
1,73,914,1,0,0
1,21,973,0,1,0
22,61,983,0,0,0
24,30,1087,0,0,1
5,24,1010,1,0,0
7,56,854,0,1,0
11,11,869,0,1,1
6,13,1048,0,0,1
12,8,896,0,1,0
1,20,942,0,0,1
9,49,966,0,1,1
"first year teacher",27,711,0,0,1
20,12,858,0,1,1
20,23,1012,0,0,0
2,71,816,0,1,0
17,36,860,1,1,0
6,13,787,0,1,0
5,34,1012,0,0,0
14,70,950,0,0,1
8,5,953,0,1,0
4,48,1019,0,0,1
20,12,1027,0,0,1
11,47,856,1,0,1
13,75,1019,0,0,0
10,30,942,0,1,1
3,66,822,0,1,0
15,70,891,1,1,1
5,21,958,0,1,1
7,4,941,0,1,0
20,17,951,1,1,0
3,28,963,1,0,1
16,69,1008,0,0,0
13,9,1042,1,1,1
17,16,966,0,0,1
15,51,980,1,1,0
15,65,932,1,0,0
14,74,919,1,0,1
5,37,1044,0,0,0
15,36,931,0,0,0
9,3,890,0,1,1
8,59,1038,0,0,0
15,65,909,1,1,1
14,1,1003,1,1,0
12,45,812,0,1,1
6,50,960,1,1,1
11,37,991,0,0,0
14,33,891,1,0,1
4,35,873,0,1,1
13,24,939,1,0,0
15,47,910,0,0,0
8,5,917,0,0,0
1,32,858,1,1,0
15,47,918,0,1,0
"first year teacher",44,921,0,0,1
3,43,871,0,1,0
10,63,956,0,1,0
1,16,949,1,0,1
5,17,874,1,0,1
6,19,849,0,1,1
17,16,918,0,0,1
2,40,987,0,0,1
20,12,961,0,0,1
18,25,878,0,1,0
"first year teacher",7,1109,0,0,0
10,18,973,0,0,0
24,22,1002,0,0,1
2,76,888,0,0,1
8,4,877,0,0,0
8,4,915,0,0,0
8,41,1156,1,1,0
15,36,890,0,1,0
8,72,931,0,1,1
16,68,822,0,1,1
1,21,846,0,1,1
6,71,911,0,1,0
5,29,1003,0,0,0
6,33,809,0,0,1
2,57,796,0,0,1
6,28,927,1,1,1
8,9,951,0,1,0
6,71,929,0,1,0
17,34,868,0,1,0
20,23,1066,0,1,0
13,60,893,0,1,1
13,67,917,0,1,1
9,3,1053,1,0,0
16,68,951,0,0,0
1,37,856,1,1,1
7,63,1031,0,1,1
6,72,995,1,0,0
15,43,849,1,1,0
5,21,867,0,0,1
15,66,1062,1,1,0
6,16,829,0,1,1
6,24,873,0,0,0
10,18,948,0,1,1
19,73,915,0,1,0
12,6,879,1,0,0
6,24,916,0,1,0
8,38,883,1,1,1
6,2,844,0,1,0
13,55,934,0,1,0
14,36,971,0,0,0
2,16,937,1,1,1
10,28,923,0,1,1
13,66,933,0,1,1
"first year teacher",27,907,0,1,0
1,76,791,0,0,1
12,74,830,1,0,1
5,60,837,0,0,1
13,67,795,0,1,0
4,35,950,0,0,0
2,71,940,0,0,0
13,51,963,0,0,0
8,74,855,0,1,0
1,76,958,0,0,0
8,17,962,0,1,0
15,41,1071,0,0,0
6,72,1100,1,1,0
19,64,764,1,1,1
14,9,971,0,1,0
"first year teacher",31,975,0,0,1
8,16,834,0,1,1
12,51,910,0,1,1
8,28,937,1,1,0
8,38,810,0,0,1
5,1,945,0,1,0
10,68,905,0,0,0
12,54,953,1,0,0
12,54,902,1,0,0
1,20,921,0,0,0
11,6,934,0,0,0
20,12,923,0,1,1
16,62,872,0,0,1
8,72,983,0,1,0
15,41,933,0,1,0
3,56,837,1,0,0
21,40,924,0,0,1
8,70,978,1,0,1
3,58,903,0,1,0
20,12,906,0,1,1
15,47,981,0,0,0
3,44,1039,1,0,1
11,23,810,1,1,1
11,22,915,0,0,1
8,78,847,0,1,1
2,32,899,0,1,1
2,25,878,0,1,1
15,41,1116,0,1,0
13,67,886,0,1,0
13,55,881,0,0,0
"first year teacher",4,881,1,1,0
6,69,910,0,1,0
12,72,825,0,0,1
8,3,916,0,0,1
15,36,950,0,0,0
13,8,923,1,1,0
5,39,933,0,0,1
21,23,902,0,0,1
1,16,848,1,0,1
7,36,906,1,0,0
12,10,883,1,1,1
13,37,993,1,0,0
3,56,814,0,0,0
10,18,857,0,1,1
3,56,836,0,1,0
13,38,863,0,1,1
14,52,971,1,0,0
20,17,900,1,0,0
13,55,1063,0,0,0
3,7,964,0,0,0
2,34,898,1,0,0
10,28,881,0,0,1
10,18,808,0,1,1
15,43,866,1,1,0
3,32,812,0,0,1
"first year teacher",31,884,0,0,1
12,63,898,0,0,0
9,3,903,1,1,1
11,15,919,0,0,1
16,68,986,0,1,0
12,51,914,0,0,1
12,10,857,0,1,0
18,52,1012,0,0,0
12,10,886,0,1,1
10,51,849,1,0,0
15,41,915,0,1,0
11,9,881,0,0,1
4,40,1044,1,1,1
13,55,996,0,1,0
4,7,820,1,0,1
11,51,981,0,1,0
16,22,943,0,1,1
9,65,1020,0,1,1
7,28,872,0,1,1
3,22,901,1,1,1
4,20,960,0,0,0
13,8,893,0,1,0
7,56,803,0,0,1
12,25,962,1,1,1
8,61,1017,0,0,0
13,24,936,1,0,0
11,64,921,0,0,0
12,12,992,0,0,1
11,47,898,1,1,0
1,33,844,1,1,1
6,71,978,0,1,0
14,9,949,0,1,0
16,72,870,1,1,0
"first year teacher",37,803,0,1,1
14,32,865,1,1,1
10,42,947,1,1,0
3,10,957,0,0,0
9,7,1046,0,1,1
13,8,836,0,0,1
12,20,870,0,0,0
9,3,1044,0,0,0
13,79,855,0,1,0
5,51,1253,0,0,0
3,15,945,0,0,1
8,74,992,0,0,0
13,50,976,0,1,0
4,48,946,0,0,1
3,28,889,1,1,1
17,2,864,0,0,0
18,52,994,0,0,0
13,67,867,0,1,1
1,23,935,0,0,1
3,75,960,1,1,0
8,5,852,0,0,1
"first year teacher",44,875,0,1,1
20,71,870,1,1,0
12,50,976,0,0,0
10,68,918,0,1,1
6,69,887,1,1,1
22,61,795,0,1,1
8,66,896,0,0,0
8,4,949,0,1,0
1,19,944,0,0,1
22,76,837,1,0,0
24,22,921,0,1,1
13,79,960,0,0,0
16,51,890,1,0,0
10,70,1030,0,0,0
5,24,865,1,0,0
11,60,820,1,1,0
13,38,1043,0,1,1
8,66,847,0,1,0
6,7,880,1,1,0
7,56,849,0,0,0
19,64,1067,1,0,0
8,5,917,0,0,0
14,74,1065,1,1,1
13,54,1038,0,0,0
8,16,855,0,0,1
12,20,837,0,1,0
10,72,954,0,0,1
17,16,873,0,0,1
9,49,970,0,0,0
8,68,881,1,0,1
12,25,952,1,0,1
7,4,816,0,0,1
15,21,872,0,1,0
8,59,905,0,1,0
8,59,885,0,0,1
20,23,1092,0,0,0
10,27,994,0,0,1
1,22,848,0,1,1
12,35,828,0,1,1
5,28,864,0,1,1
8,61,965,0,1,0
"first year teacher",37,895,0,0,1
6,28,967,1,1,0
8,41,888,1,0,0
6,33,785,0,0,1
2,30,1026,1,1,1
17,2,904,0,0,0
3,10,950,0,0,0
5,29,952,0,0,1
8,58,1008,1,0,0
12,79,880,0,1,1
5,1,911,0,0,0
2,40,1054,0,0,1
11,23,1070,1,1,0
12,20,949,0,0,1
10,72,936,0,0,0
9,53,931,0,0,1
24,44,924,0,0,1
8,5,828,0,0,0
5,35,920,1,0,0
10,63,1044,0,0,0
21,20,1051,1,0,0
5,29,999,1,1,1
1,23,953,0,0,1
8,9,956,0,1,0
10,51,1074,1,1,0
2,40,914,0,0,1
15,43,912,1,0,0
11,9,997,0,1,0
11,27,996,1,0,1
17,36,865,1,1,0
15,41,965,0,0,0
11,75,823,0,1,1
19,64,976,1,0,0
15,43,785,1,1,1
12,20,907,0,0,0
16,72,991,1,1,0
6,62,906,1,0,0
13,37,947,1,0,0
5,58,992,1,1,0
6,19,892,1,1,1
8,68,949,1,1,0
2,34,923,1,0,0
12,50,1027,0,0,0
3,45,815,1,1,1
